,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
70060,31/2-21 S,1999.9284,5,2,0
70061,31/2-21 S,2000.0804,5,2,0
70062,31/2-21 S,2000.2324,5,2,0
70063,31/2-21 S,2000.3844,5,5,1
70064,31/2-21 S,2000.5364,5,5,1
70065,31/2-21 S,2000.6884,5,5,1
70066,31/2-21 S,2000.8404,5,5,1
70067,31/2-21 S,2000.9924,5,2,0
70068,31/2-21 S,2001.1444,5,2,0
70069,31/2-21 S,2001.2964,5,2,0
70070,31/2-21 S,2001.4484,3,2,0
70071,31/2-21 S,2001.6004,3,2,0
70072,31/2-21 S,2001.7524,3,2,0
70073,31/2-21 S,2001.9044,3,2,0
70074,31/2-21 S,2002.0564,3,2,0
70075,31/2-21 S,2002.2084,3,2,0
70076,31/2-21 S,2002.3604,3,2,0
70077,31/2-21 S,2002.5124,3,2,0
70078,31/2-21 S,2002.6644,3,2,0
70079,31/2-21 S,2002.8164,3,2,0
70080,31/2-21 S,2002.9684,3,2,0
70081,31/2-21 S,2003.1204,3,2,0
70082,31/2-21 S,2003.2724,3,2,0
70083,31/2-21 S,2003.4244,3,2,0
70084,31/2-21 S,2003.5764,3,2,0
70085,31/2-21 S,2003.7284,5,2,0
70086,31/2-21 S,2003.8804,5,5,1
70087,31/2-21 S,2004.0324,5,5,1
70088,31/2-21 S,2004.1844,5,5,1
70089,31/2-21 S,2004.3364,5,5,1
70090,31/2-21 S,2004.4884,5,5,1
70091,31/2-21 S,2004.6404,5,5,1
70092,31/2-21 S,2004.7924,5,5,1
70093,31/2-21 S,2004.9444,5,5,1
70094,31/2-21 S,2005.0964,5,5,1
70095,31/2-21 S,2005.2484,5,5,1
70096,31/2-21 S,2005.4004,5,5,1
70097,31/2-21 S,2005.5524,5,5,1
70098,31/2-21 S,2005.7044,5,5,1
70099,31/2-21 S,2005.8564,5,5,1
70100,31/2-21 S,2006.0084,5,5,1
70101,31/2-21 S,2006.1604,5,5,1
70102,31/2-21 S,2006.3124,5,5,1
70103,31/2-21 S,2006.4644,5,5,1
70104,31/2-21 S,2006.6164,5,5,1
70105,31/2-21 S,2006.7684,5,5,1
70106,31/2-21 S,2006.9204,5,5,1
70107,31/2-21 S,2007.0724,5,5,1
70108,31/2-21 S,2007.2244,5,5,1
70109,31/2-21 S,2007.3764,5,5,1
70110,31/2-21 S,2007.5284,5,5,1
70111,31/2-21 S,2007.6804,5,5,1
70112,31/2-21 S,2007.8324,5,5,1
70113,31/2-21 S,2007.9844,5,5,1
70114,31/2-21 S,2008.1364,5,5,1
70115,31/2-21 S,2008.2884,5,5,1
70116,31/2-21 S,2008.4404,5,5,1
70117,31/2-21 S,2008.5924,5,5,1
70118,31/2-21 S,2008.7444,5,5,1
70119,31/2-21 S,2008.8964,5,5,1
70120,31/2-21 S,2009.0484,5,5,1
70121,31/2-21 S,2009.2004,5,5,1
70122,31/2-21 S,2009.3524,5,5,1
70123,31/2-21 S,2009.5044,5,5,1
70124,31/2-21 S,2009.6564,5,5,1
70125,31/2-21 S,2009.8084,5,5,1
70126,31/2-21 S,2009.9604,5,5,1
70127,31/2-21 S,2010.1124,5,5,1
70128,31/2-21 S,2010.2644,5,5,1
70129,31/2-21 S,2010.4164,5,5,1
70130,31/2-21 S,2010.5684,5,5,1
70131,31/2-21 S,2010.7204,5,5,1
70132,31/2-21 S,2010.8724,5,5,1
70133,31/2-21 S,2011.0244,5,5,1
70134,31/2-21 S,2011.1764,5,5,1
70135,31/2-21 S,2011.3284,5,5,1
70136,31/2-21 S,2011.4804,5,5,1
70137,31/2-21 S,2011.6324,5,5,1
70138,31/2-21 S,2011.7844,5,5,1
70139,31/2-21 S,2011.9364,5,5,1
70140,31/2-21 S,2012.0884,5,5,1
70141,31/2-21 S,2012.2404,5,5,1
70142,31/2-21 S,2012.3924,5,5,1
70143,31/2-21 S,2012.5444,5,5,1
70144,31/2-21 S,2012.6964,5,5,1
70145,31/2-21 S,2012.8484,5,5,1
70146,31/2-21 S,2013.0004,5,5,1
70147,31/2-21 S,2013.1524,5,5,1
70148,31/2-21 S,2013.3044,5,5,1
70149,31/2-21 S,2013.4564,5,5,1
70150,31/2-21 S,2013.6084,5,5,1
70151,31/2-21 S,2013.7604,5,5,1
70152,31/2-21 S,2013.9124,5,5,1
70153,31/2-21 S,2014.0644,5,5,1
70154,31/2-21 S,2014.2164,5,5,1
70155,31/2-21 S,2014.3684,5,5,1
70156,31/2-21 S,2014.5204,5,5,1
70157,31/2-21 S,2014.6724,5,5,1
70158,31/2-21 S,2014.8244,5,5,1
70159,31/2-21 S,2014.9764,5,5,1
70160,31/2-21 S,2015.1284,5,5,1
70161,31/2-21 S,2015.2804,5,5,1
70162,31/2-21 S,2015.4324,5,5,1
70163,31/2-21 S,2015.5844,5,5,1
70164,31/2-21 S,2015.7364,5,5,1
70165,31/2-21 S,2015.8884,5,5,1
70166,31/2-21 S,2016.0404,5,5,1
70167,31/2-21 S,2016.1924,5,5,1
70168,31/2-21 S,2016.3444,5,5,1
70169,31/2-21 S,2016.4964,5,5,1
70170,31/2-21 S,2016.6484,5,5,1
70171,31/2-21 S,2016.8004,5,5,1
70172,31/2-21 S,2016.9524,5,5,1
70173,31/2-21 S,2017.1044,5,5,1
70174,31/2-21 S,2017.2564,5,5,1
70175,31/2-21 S,2017.4084,5,5,1
70176,31/2-21 S,2017.5604,5,5,1
70177,31/2-21 S,2017.7124,5,5,1
70178,31/2-21 S,2017.8644,5,5,1
70179,31/2-21 S,2018.0164,5,5,1
70180,31/2-21 S,2018.1684,5,5,1
70181,31/2-21 S,2018.3204,5,5,1
70182,31/2-21 S,2018.4724,5,5,1
70183,31/2-21 S,2018.6244,5,3,0
70184,31/2-21 S,2018.7764,5,3,0
70185,31/2-21 S,2018.9284,3,2,0
70186,31/2-21 S,2019.0804,3,2,0
70187,31/2-21 S,2019.2324,3,2,0
70188,31/2-21 S,2019.3844,3,2,0
70189,31/2-21 S,2019.5364,3,2,0
70190,31/2-21 S,2019.6884,3,2,0
70191,31/2-21 S,2019.8404,3,3,1
70192,31/2-21 S,2019.9924,3,5,0
70193,31/2-21 S,2020.1444,5,5,1
70194,31/2-21 S,2020.2964,5,5,1
70195,31/2-21 S,2020.4484,5,5,1
70196,31/2-21 S,2020.6004,5,5,1
70197,31/2-21 S,2020.7524,5,5,1
70198,31/2-21 S,2020.9044,5,5,1
70199,31/2-21 S,2021.0564,5,5,1
70200,31/2-21 S,2021.2084,5,5,1
70201,31/2-21 S,2021.3604,5,5,1
70202,31/2-21 S,2021.5124,5,5,1
70203,31/2-21 S,2021.6644,5,5,1
70204,31/2-21 S,2021.8164,5,5,1
70205,31/2-21 S,2021.9684,5,5,1
