,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
50239,25/10-9,1333.0888,2,2,1
50240,25/10-9,1333.2408,2,2,1
50241,25/10-9,1333.3928,2,2,1
50242,25/10-9,1333.5448,2,2,1
50243,25/10-9,1333.6968,2,2,1
50244,25/10-9,1333.8488,2,2,1
50245,25/10-9,1334.0008,2,2,1
50246,25/10-9,1334.1528,2,2,1
50247,25/10-9,1334.3048,2,2,1
50248,25/10-9,1334.4568,2,2,1
50249,25/10-9,1334.6088,2,2,1
50250,25/10-9,1334.7608,2,2,1
50251,25/10-9,1334.9128,2,2,1
50252,25/10-9,1335.0648,2,2,1
50253,25/10-9,1335.2168,2,2,1
50254,25/10-9,1335.3688,2,2,1
50255,25/10-9,1335.5208,2,2,1
50256,25/10-9,1335.6728,2,2,1
50257,25/10-9,1335.8248,2,2,1
50258,25/10-9,1335.9768,2,2,1
50259,25/10-9,1336.1288,2,2,1
50260,25/10-9,1336.2808,2,2,1
50261,25/10-9,1336.4328,2,2,1
50262,25/10-9,1336.5848,2,2,1
50263,25/10-9,1336.7368,2,2,1
50264,25/10-9,1336.8888,2,2,1
50265,25/10-9,1337.0408,2,2,1
50266,25/10-9,1337.1928,2,2,1
50267,25/10-9,1337.3448,2,2,1
50268,25/10-9,1337.4968,2,2,1
50269,25/10-9,1337.6488,2,2,1
50270,25/10-9,1337.8008,2,2,1
50271,25/10-9,1337.9528,2,2,1
50272,25/10-9,1338.1048,2,2,1
50273,25/10-9,1338.2568,2,2,1
50274,25/10-9,1338.4088,2,2,1
50275,25/10-9,1338.5608,2,2,1
50276,25/10-9,1338.7128,2,2,1
50277,25/10-9,1338.8648,2,2,1
50278,25/10-9,1339.0168,2,2,1
50279,25/10-9,1339.1688,2,2,1
50280,25/10-9,1339.3208,2,2,1
50281,25/10-9,1339.4728,2,2,1
50282,25/10-9,1339.6248,2,2,1
50283,25/10-9,1339.7768,2,2,1
50284,25/10-9,1339.9288,2,2,1
50285,25/10-9,1340.0808,2,2,1
50286,25/10-9,1340.2328,2,2,1
50287,25/10-9,1340.3848,2,2,1
50288,25/10-9,1340.5368,2,2,1
50289,25/10-9,1340.6888,2,2,1
50290,25/10-9,1340.8408,2,2,1
50291,25/10-9,1340.9928,2,2,1
50292,25/10-9,1341.1448,2,2,1
50293,25/10-9,1341.2968,2,2,1
50294,25/10-9,1341.4488,2,2,1
50295,25/10-9,1341.6008,2,2,1
50296,25/10-9,1341.7528,2,2,1
50297,25/10-9,1341.9048,2,2,1
50298,25/10-9,1342.0568,2,2,1
50299,25/10-9,1342.2088,2,2,1
50300,25/10-9,1342.3608,2,2,1
50301,25/10-9,1342.5128,2,2,1
50302,25/10-9,1342.6648,2,2,1
50303,25/10-9,1342.8168,2,2,1
50304,25/10-9,1342.9688,2,2,1
50305,25/10-9,1343.1208,2,2,1
50306,25/10-9,1343.2728,2,2,1
50307,25/10-9,1343.4248,2,2,1
50308,25/10-9,1343.5768,2,2,1
50309,25/10-9,1343.7288,2,2,1
50310,25/10-9,1343.8808,2,2,1
50311,25/10-9,1344.0328,2,2,1
50312,25/10-9,1344.1848,2,2,1
50313,25/10-9,1344.3368,2,2,1
50314,25/10-9,1344.4888,2,2,1
50315,25/10-9,1344.6408,2,2,1
50316,25/10-9,1344.7928,2,2,1
50317,25/10-9,1344.9448,2,2,1
50318,25/10-9,1345.0968,2,2,1
50319,25/10-9,1345.2488,2,2,1
50320,25/10-9,1345.4008,2,2,1
50321,25/10-9,1345.5528,2,2,1
50322,25/10-9,1345.7048,2,2,1
50323,25/10-9,1345.8568,2,2,1
50324,25/10-9,1346.0088,2,2,1
50325,25/10-9,1346.1608,2,2,1
50326,25/10-9,1346.3128,2,2,1
50327,25/10-9,1346.4648,2,2,1
