,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
77900,34/3-2 S,2380.5748,2,2,1
77901,34/3-2 S,2380.7268,2,2,1
77902,34/3-2 S,2380.8788,2,2,1
77903,34/3-2 S,2381.0308,2,2,1
77904,34/3-2 S,2381.1828,2,2,1
77905,34/3-2 S,2381.3348,2,2,1
77906,34/3-2 S,2381.4868,2,2,1
77907,34/3-2 S,2381.6388,2,2,1
77908,34/3-2 S,2381.7908,2,2,1
77909,34/3-2 S,2381.9428,2,2,1
77910,34/3-2 S,2382.0948,2,2,1
77911,34/3-2 S,2382.2468,2,2,1
77912,34/3-2 S,2382.3988,2,2,1
77913,34/3-2 S,2382.5508,2,2,1
77914,34/3-2 S,2382.7028,2,2,1
77915,34/3-2 S,2382.8548,2,2,1
77916,34/3-2 S,2383.0068,2,2,1
77917,34/3-2 S,2383.1588,2,2,1
77918,34/3-2 S,2383.3108,2,2,1
77919,34/3-2 S,2383.4628,2,2,1
77920,34/3-2 S,2383.6148,2,2,1
77921,34/3-2 S,2383.7668,2,2,1
77922,34/3-2 S,2383.9188,2,2,1
77923,34/3-2 S,2384.0708,2,2,1
77924,34/3-2 S,2384.2228,2,2,1
77925,34/3-2 S,2384.3748,2,2,1
77926,34/3-2 S,2384.5268,2,2,1
77927,34/3-2 S,2384.6788,2,2,1
77928,34/3-2 S,2384.8308,2,2,1
77929,34/3-2 S,2384.9828,2,2,1
77930,34/3-2 S,2385.1348,2,2,1
77931,34/3-2 S,2385.2868,2,2,1
77932,34/3-2 S,2385.4388,2,2,1
77933,34/3-2 S,2385.5908,2,2,1
77934,34/3-2 S,2385.7428,2,2,1
77935,34/3-2 S,2385.8948,2,2,1
77936,34/3-2 S,2386.0468,2,2,1
77937,34/3-2 S,2386.1988,2,2,1
77938,34/3-2 S,2386.3508,2,2,1
77939,34/3-2 S,2386.5028,2,2,1
77940,34/3-2 S,2386.6548,2,2,1
77941,34/3-2 S,2386.8068,2,2,1
77942,34/3-2 S,2386.9588,2,2,1
77943,34/3-2 S,2387.1108,2,2,1
77944,34/3-2 S,2387.2628,2,2,1
77945,34/3-2 S,2387.4148,2,2,1
77946,34/3-2 S,2387.5668,2,2,1
77947,34/3-2 S,2387.7188,2,2,1
77948,34/3-2 S,2387.8708,2,2,1
77949,34/3-2 S,2388.0228,2,2,1
77950,34/3-2 S,2388.1748,2,2,1
77951,34/3-2 S,2388.3268,2,2,1
77952,34/3-2 S,2388.4788,2,2,1
77953,34/3-2 S,2388.6308,2,2,1
77954,34/3-2 S,2388.7828,2,2,1
77955,34/3-2 S,2388.9348,2,2,1
77956,34/3-2 S,2389.0868,2,2,1
77957,34/3-2 S,2389.2388,2,2,1
77958,34/3-2 S,2389.3908,2,2,1
77959,34/3-2 S,2389.5428,2,2,1
77960,34/3-2 S,2389.6948,2,2,1
77961,34/3-2 S,2389.8468,2,2,1
77962,34/3-2 S,2389.9988,2,2,1
77963,34/3-2 S,2390.1508,2,2,1
77964,34/3-2 S,2390.3028,2,2,1
77965,34/3-2 S,2390.4548,2,2,1
77966,34/3-2 S,2390.6068,2,2,1
77967,34/3-2 S,2390.7588,2,2,1
77968,34/3-2 S,2390.9108,2,2,1
77969,34/3-2 S,2391.0628,2,2,1
77970,34/3-2 S,2391.2148,2,2,1
77971,34/3-2 S,2391.3668,2,2,1
77972,34/3-2 S,2391.5188,2,2,1
77973,34/3-2 S,2391.6708,2,2,1
77974,34/3-2 S,2391.8228,2,2,1
77975,34/3-2 S,2391.9748,2,2,1
77976,34/3-2 S,2392.1268,2,2,1
77977,34/3-2 S,2392.2788,2,2,1
77978,34/3-2 S,2392.4308,2,2,1
77979,34/3-2 S,2392.5828,2,2,1
77980,34/3-2 S,2392.7348,2,2,1
77981,34/3-2 S,2392.8868,2,2,1
77982,34/3-2 S,2393.0388,2,2,1
77983,34/3-2 S,2393.1908,2,2,1
77984,34/3-2 S,2393.3428,2,2,1
77985,34/3-2 S,2393.4948,2,2,1
77986,34/3-2 S,2393.6468,2,2,1
77987,34/3-2 S,2393.7988,2,2,1
77988,34/3-2 S,2393.9508,2,2,1
77989,34/3-2 S,2394.1028,2,2,1
77990,34/3-2 S,2394.2548,2,2,1
77991,34/3-2 S,2394.4068,2,2,1
77992,34/3-2 S,2394.5588,2,2,1
77993,34/3-2 S,2394.7108,2,2,1
77994,34/3-2 S,2394.8628,2,2,1
77995,34/3-2 S,2395.0148,2,2,1
77996,34/3-2 S,2395.1668,2,2,1
77997,34/3-2 S,2395.3188,2,2,1
77998,34/3-2 S,2395.4708,2,2,1
77999,34/3-2 S,2395.6228,2,2,1
78000,34/3-2 S,2395.7748,2,2,1
78001,34/3-2 S,2395.9268,2,2,1
78002,34/3-2 S,2396.0788,2,2,1
78003,34/3-2 S,2396.2308,2,2,1
78004,34/3-2 S,2396.3828,2,2,1
78005,34/3-2 S,2396.5348,2,2,1
78006,34/3-2 S,2396.6868,2,2,1
78007,34/3-2 S,2396.8388,2,2,1
78008,34/3-2 S,2396.9908,2,2,1
78009,34/3-2 S,2397.1428,2,2,1
78010,34/3-2 S,2397.2948,2,2,1
78011,34/3-2 S,2397.4468,2,2,1
78012,34/3-2 S,2397.5988,2,2,1
78013,34/3-2 S,2397.7508,2,2,1
78014,34/3-2 S,2397.9028,2,2,1
78015,34/3-2 S,2398.0548,2,2,1
78016,34/3-2 S,2398.2068,2,2,1
78017,34/3-2 S,2398.3588,2,2,1
78018,34/3-2 S,2398.5108,2,2,1
78019,34/3-2 S,2398.6628,2,2,1
78020,34/3-2 S,2398.8148,2,2,1
78021,34/3-2 S,2398.9668,2,2,1
78022,34/3-2 S,2399.1188,2,2,1
78023,34/3-2 S,2399.2708,2,2,1
78024,34/3-2 S,2399.4228,2,2,1
78025,34/3-2 S,2399.5748,2,2,1
78026,34/3-2 S,2399.7268,2,2,1
78027,34/3-2 S,2399.8788,2,2,1
78028,34/3-2 S,2400.0308,2,2,1
78029,34/3-2 S,2400.1828,2,2,1
78030,34/3-2 S,2400.3348,2,2,1
78031,34/3-2 S,2400.4868,2,2,1
78032,34/3-2 S,2400.6388,2,2,1
78033,34/3-2 S,2400.7908,2,2,1
78034,34/3-2 S,2400.9428,2,2,1
78035,34/3-2 S,2401.0948,2,2,1
78036,34/3-2 S,2401.2468,2,2,1
78037,34/3-2 S,2401.3988,2,2,1
78038,34/3-2 S,2401.5508,2,2,1
78039,34/3-2 S,2401.7028,2,2,1
78040,34/3-2 S,2401.8548,2,2,1
78041,34/3-2 S,2402.0068,2,2,1
