,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
0,15/9-23,1518.28,2,2,1
1,15/9-23,1518.432,2,2,1
2,15/9-23,1518.5839999999998,2,2,1
3,15/9-23,1518.736,2,2,1
4,15/9-23,1518.888,2,2,1
5,15/9-23,1519.04,2,2,1
6,15/9-23,1519.192,2,2,1
7,15/9-23,1519.344,2,2,1
8,15/9-23,1519.496,2,2,1
9,15/9-23,1519.648,2,2,1
10,15/9-23,1519.8,2,2,1
11,15/9-23,1519.9520000000002,2,2,1
12,15/9-23,1520.104,2,2,1
13,15/9-23,1520.256,2,2,1
14,15/9-23,1520.408,2,2,1
15,15/9-23,1520.56,2,2,1
16,15/9-23,1520.7120000000002,2,2,1
17,15/9-23,1520.864,2,2,1
18,15/9-23,1521.016,2,2,1
19,15/9-23,1521.168,2,2,1
20,15/9-23,1521.32,2,2,1
21,15/9-23,1521.4720000000002,2,2,1
22,15/9-23,1521.624,2,2,1
23,15/9-23,1521.776,2,2,1
24,15/9-23,1521.9279999999999,2,2,1
25,15/9-23,1522.08,2,2,1
26,15/9-23,1522.2320000000002,2,2,1
27,15/9-23,1522.384,2,2,1
28,15/9-23,1522.536,2,2,1
29,15/9-23,1522.6879999999999,2,2,1
30,15/9-23,1522.84,2,2,1
31,15/9-23,1522.9920000000002,2,2,1
32,15/9-23,1523.144,2,2,1
33,15/9-23,1523.296,2,2,1
34,15/9-23,1523.4479999999999,2,2,1
35,15/9-23,1523.6,2,2,1
36,15/9-23,1523.7520000000002,2,2,1
37,15/9-23,1523.904,2,2,1
38,15/9-23,1524.056,2,2,1
39,15/9-23,1524.2079999999999,2,2,1
40,15/9-23,1524.36,2,2,1
41,15/9-23,1524.5120000000002,2,2,1
42,15/9-23,1524.664,2,2,1
43,15/9-23,1524.816,2,2,1
44,15/9-23,1524.9679999999998,2,2,1
45,15/9-23,1525.12,2,2,1
46,15/9-23,1525.2720000000002,2,2,1
47,15/9-23,1525.424,2,2,1
48,15/9-23,1525.576,2,2,1
49,15/9-23,1525.7279999999998,2,2,1
50,15/9-23,1525.88,2,2,1
51,15/9-23,1526.0320000000002,2,2,1
52,15/9-23,1526.184,2,2,1
53,15/9-23,1526.336,2,2,1
54,15/9-23,1526.4879999999998,2,2,1
55,15/9-23,1526.64,2,2,1
56,15/9-23,1526.7920000000001,2,2,1
57,15/9-23,1526.944,2,2,1
58,15/9-23,1527.096,2,2,1
59,15/9-23,1527.2479999999998,2,2,1
60,15/9-23,1527.4,2,2,1
61,15/9-23,1527.5520000000001,2,2,1
62,15/9-23,1527.704,2,2,1
63,15/9-23,1527.856,2,2,1
64,15/9-23,1528.0079999999998,2,2,1
65,15/9-23,1528.16,2,2,1
66,15/9-23,1528.3120000000001,2,2,1
67,15/9-23,1528.464,2,2,1
68,15/9-23,1528.616,2,2,1
69,15/9-23,1528.7679999999998,2,2,1
70,15/9-23,1528.92,2,2,1
71,15/9-23,1529.0720000000001,2,2,1
72,15/9-23,1529.224,2,2,1
73,15/9-23,1529.376,2,2,1
74,15/9-23,1529.5279999999998,2,2,1
75,15/9-23,1529.68,2,2,1
76,15/9-23,1529.832,2,2,1
77,15/9-23,1529.984,2,2,1
78,15/9-23,1530.136,2,2,1
79,15/9-23,1530.2879999999998,2,2,1
80,15/9-23,1530.44,2,2,1
81,15/9-23,1530.592,2,2,1
82,15/9-23,1530.744,2,2,1
83,15/9-23,1530.896,2,2,1
84,15/9-23,1531.0479999999998,2,2,1
85,15/9-23,1531.2,2,2,1
86,15/9-23,1531.352,2,2,1
87,15/9-23,1531.504,2,2,1
88,15/9-23,1531.656,2,2,1
89,15/9-23,1531.808,2,2,1
90,15/9-23,1531.96,2,2,1
91,15/9-23,1532.112,2,2,1
92,15/9-23,1532.264,2,2,1
93,15/9-23,1532.4160000000002,2,2,1
94,15/9-23,1532.568,2,2,1
95,15/9-23,1532.72,2,2,1
96,15/9-23,1532.872,2,2,1
97,15/9-23,1533.024,2,2,1
98,15/9-23,1533.1760000000002,2,2,1
99,15/9-23,1533.328,2,2,1
100,15/9-23,1533.48,2,2,1
101,15/9-23,1533.632,2,2,1
102,15/9-23,1533.7839999999999,2,2,1
103,15/9-23,1533.9360000000001,2,2,1
104,15/9-23,1534.088,2,2,1
105,15/9-23,1534.24,2,2,1
106,15/9-23,1534.392,2,2,1
107,15/9-23,1534.5439999999999,2,2,1
108,15/9-23,1534.6960000000001,2,2,1
109,15/9-23,1534.848,2,2,1
110,15/9-23,1535.0,2,2,1
111,15/9-23,1535.152,2,2,1
112,15/9-23,1535.3039999999999,2,2,1
113,15/9-23,1535.4560000000001,2,2,1
114,15/9-23,1535.608,2,2,1
115,15/9-23,1535.76,2,2,1
116,15/9-23,1535.912,2,2,1
117,15/9-23,1536.0639999999999,2,2,1
118,15/9-23,1536.2160000000001,2,2,1
119,15/9-23,1536.368,2,2,1
120,15/9-23,1536.52,2,2,1
121,15/9-23,1536.672,2,2,1
122,15/9-23,1536.8239999999998,2,2,1
123,15/9-23,1536.976,2,2,1
124,15/9-23,1537.128,2,2,1
125,15/9-23,1537.28,2,2,1
126,15/9-23,1537.432,2,2,1
127,15/9-23,1537.5839999999998,2,2,1
128,15/9-23,1537.736,2,2,1
129,15/9-23,1537.888,2,2,1
130,15/9-23,1538.04,2,2,1
131,15/9-23,1538.192,2,2,1
132,15/9-23,1538.344,2,2,1
133,15/9-23,1538.496,2,2,1
134,15/9-23,1538.648,2,2,1
135,15/9-23,1538.8,2,2,1
136,15/9-23,1538.9520000000002,2,2,1
137,15/9-23,1539.104,2,2,1
138,15/9-23,1539.256,2,2,1
139,15/9-23,1539.408,2,2,1
140,15/9-23,1539.56,2,2,1
141,15/9-23,1539.7120000000002,2,2,1
142,15/9-23,1539.864,2,2,1
143,15/9-23,1540.016,2,2,1
144,15/9-23,1540.168,2,2,1
145,15/9-23,1540.32,2,2,1
146,15/9-23,1540.4720000000002,2,2,1
147,15/9-23,1540.624,2,2,1
148,15/9-23,1540.776,2,2,1
149,15/9-23,1540.9279999999999,2,2,1
150,15/9-23,1541.08,2,2,1
151,15/9-23,1541.2320000000002,2,2,1
152,15/9-23,1541.384,2,2,1
153,15/9-23,1541.536,2,2,1
154,15/9-23,1541.6879999999999,2,2,1
155,15/9-23,1541.84,2,2,1
156,15/9-23,1541.9920000000002,2,2,1
157,15/9-23,1542.144,2,2,1
158,15/9-23,1542.296,2,2,1
159,15/9-23,1542.4479999999999,2,2,1
160,15/9-23,1542.6,2,2,1
161,15/9-23,1542.7520000000002,2,2,1
162,15/9-23,1542.904,2,2,1
163,15/9-23,1543.056,2,2,1
164,15/9-23,1543.2079999999999,2,2,1
165,15/9-23,1543.36,2,2,1
166,15/9-23,1543.5120000000002,2,2,1
167,15/9-23,1543.664,2,2,1
168,15/9-23,1543.816,2,2,1
169,15/9-23,1543.9679999999998,2,2,1
170,15/9-23,1544.12,2,2,1
171,15/9-23,1544.2720000000002,2,2,1
172,15/9-23,1544.424,2,2,1
173,15/9-23,1544.576,2,2,1
174,15/9-23,1544.7279999999998,2,2,1
175,15/9-23,1544.88,2,2,1
176,15/9-23,1545.0320000000002,2,2,1
177,15/9-23,1545.184,2,2,1
178,15/9-23,1545.336,2,2,1
179,15/9-23,1545.4879999999998,2,2,1
180,15/9-23,1545.64,2,2,1
181,15/9-23,1545.7920000000001,2,2,1
182,15/9-23,1545.944,2,2,1
183,15/9-23,1546.096,2,2,1
184,15/9-23,1546.2479999999998,2,2,1
185,15/9-23,1546.4,2,2,1
186,15/9-23,1546.5520000000001,2,2,1
187,15/9-23,1546.704,2,2,1
188,15/9-23,1546.856,2,2,1
189,15/9-23,1547.0079999999998,2,2,1
190,15/9-23,1547.16,2,2,1
191,15/9-23,1547.3120000000001,2,2,1
192,15/9-23,1547.464,2,2,1
193,15/9-23,1547.616,2,2,1
194,15/9-23,1547.7679999999998,2,2,1
195,15/9-23,1547.92,2,2,1
196,15/9-23,1548.0720000000001,2,2,1
197,15/9-23,1548.224,2,2,1
198,15/9-23,1548.376,2,2,1
199,15/9-23,1548.5279999999998,2,2,1
200,15/9-23,1548.68,2,2,1
201,15/9-23,1548.832,2,2,1
202,15/9-23,1548.984,2,2,1
203,15/9-23,1549.136,2,2,1
204,15/9-23,1549.2879999999998,2,2,1
205,15/9-23,1549.44,2,2,1
206,15/9-23,1549.592,2,2,1
207,15/9-23,1549.744,2,2,1
