,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
111720,35/9-7,1351.1548,2,2,1
111721,35/9-7,1351.3068,2,2,1
111722,35/9-7,1351.4588,2,2,1
111723,35/9-7,1351.6108,2,2,1
111724,35/9-7,1351.7628,2,2,1
111725,35/9-7,1351.9148,2,2,1
111726,35/9-7,1352.0668,2,2,1
111727,35/9-7,1352.2188,2,2,1
111728,35/9-7,1352.3708,2,2,1
111729,35/9-7,1352.5228,2,2,1
111730,35/9-7,1352.6748,2,2,1
111731,35/9-7,1352.8268,2,2,1
111732,35/9-7,1352.9788,2,2,1
111733,35/9-7,1353.1308,2,2,1
111734,35/9-7,1353.2828,2,2,1
111735,35/9-7,1353.4348,2,2,1
111736,35/9-7,1353.5868,2,2,1
111737,35/9-7,1353.7388,2,2,1
111738,35/9-7,1353.8908,2,2,1
111739,35/9-7,1354.0428,2,2,1
111740,35/9-7,1354.1948,2,2,1
111741,35/9-7,1354.3468,2,2,1
111742,35/9-7,1354.4988,2,2,1
111743,35/9-7,1354.6508,2,2,1
111744,35/9-7,1354.8028,2,2,1
111745,35/9-7,1354.9548,2,2,1
111746,35/9-7,1355.1068,2,2,1
111747,35/9-7,1355.2588,2,2,1
111748,35/9-7,1355.4108,2,2,1
111749,35/9-7,1355.5628,2,2,1
111750,35/9-7,1355.7148,2,2,1
111751,35/9-7,1355.8668,2,2,1
111752,35/9-7,1356.0188,2,2,1
111753,35/9-7,1356.1708,2,2,1
111754,35/9-7,1356.3228,2,2,1
111755,35/9-7,1356.4748,2,2,1
111756,35/9-7,1356.6268,2,2,1
111757,35/9-7,1356.7788,2,2,1
111758,35/9-7,1356.9308,2,2,1
111759,35/9-7,1357.0828,2,2,1
111760,35/9-7,1357.2348,2,2,1
111761,35/9-7,1357.3868,2,2,1
111762,35/9-7,1357.5388,2,2,1
111763,35/9-7,1357.6908,2,2,1
111764,35/9-7,1357.8428,2,2,1
111765,35/9-7,1357.9948,2,2,1
111766,35/9-7,1358.1468,2,2,1
111767,35/9-7,1358.2988,2,2,1
111768,35/9-7,1358.4508,2,2,1
111769,35/9-7,1358.6028,2,2,1
111770,35/9-7,1358.7548,2,2,1
111771,35/9-7,1358.9068,2,2,1
111772,35/9-7,1359.0588,2,2,1
111773,35/9-7,1359.2108,2,2,1
111774,35/9-7,1359.3628,2,2,1
111775,35/9-7,1359.5148,2,2,1
111776,35/9-7,1359.6668,2,2,1
111777,35/9-7,1359.8188,2,2,1
111778,35/9-7,1359.9708,2,2,1
111779,35/9-7,1360.1228,2,2,1
111780,35/9-7,1360.2748,2,2,1
111781,35/9-7,1360.4268,2,2,1
111782,35/9-7,1360.5788,2,2,1
111783,35/9-7,1360.7308,2,2,1
111784,35/9-7,1360.8828,2,2,1
111785,35/9-7,1361.0348,2,2,1
111786,35/9-7,1361.1868,2,2,1
111787,35/9-7,1361.3388,2,2,1
111788,35/9-7,1361.4908,2,2,1
111789,35/9-7,1361.6428,2,2,1
111790,35/9-7,1361.7948,2,2,1
111791,35/9-7,1361.9468,2,2,1
111792,35/9-7,1362.0988,2,2,1
111793,35/9-7,1362.2508,2,2,1
111794,35/9-7,1362.4028,2,2,1
111795,35/9-7,1362.5548,2,2,1
111796,35/9-7,1362.7068,2,2,1
111797,35/9-7,1362.8588,2,2,1
111798,35/9-7,1363.0108,2,2,1
111799,35/9-7,1363.1628,2,2,1
111800,35/9-7,1363.3148,2,2,1
111801,35/9-7,1363.4668,2,2,1
111802,35/9-7,1363.6188,2,2,1
111803,35/9-7,1363.7708,2,2,1
111804,35/9-7,1363.9228,0,2,0
111805,35/9-7,1364.0748,0,2,0
111806,35/9-7,1364.2268,0,2,0
111807,35/9-7,1364.3788,0,2,0
111808,35/9-7,1364.5308,0,2,0
111809,35/9-7,1364.6828,0,2,0
111810,35/9-7,1364.8348,0,2,0
111811,35/9-7,1364.9868,0,2,0
111812,35/9-7,1365.1388,0,2,0
111813,35/9-7,1365.2908,0,2,0
111814,35/9-7,1365.4428,0,2,0
111815,35/9-7,1365.5948,0,2,0
111816,35/9-7,1365.7468,0,2,0
111817,35/9-7,1365.8988,0,2,0
111818,35/9-7,1366.0508,0,2,0
111819,35/9-7,1366.2028,0,2,0
111820,35/9-7,1366.3548,0,2,0
111821,35/9-7,1366.5068,0,2,0
111822,35/9-7,1366.6588,0,2,0
111823,35/9-7,1366.8108,2,2,1
111824,35/9-7,1366.9628,1,2,0
111825,35/9-7,1367.1148,1,2,0
111826,35/9-7,1367.2668,1,2,0
111827,35/9-7,1367.4188,1,2,0
111828,35/9-7,1367.5708,1,2,0
111829,35/9-7,1367.7228,1,2,0
111830,35/9-7,1367.8748,1,2,0
111831,35/9-7,1368.0268,1,2,0
111832,35/9-7,1368.1788,1,2,0
111833,35/9-7,1368.3308,1,2,0
111834,35/9-7,1368.4828,1,2,0
111835,35/9-7,1368.6348,1,2,0
111836,35/9-7,1368.7868,1,2,0
111837,35/9-7,1368.9388,1,2,0
111838,35/9-7,1369.0908,2,2,1
111839,35/9-7,1369.2428,2,2,1
111840,35/9-7,1369.3948,2,2,1
111841,35/9-7,1369.5468,2,2,1
111842,35/9-7,1369.6988,2,2,1
111843,35/9-7,1369.8508,2,2,1
111844,35/9-7,1370.0028,2,2,1
111845,35/9-7,1370.1548,2,2,1
111846,35/9-7,1370.3068,2,2,1
111847,35/9-7,1370.4588,2,2,1
111848,35/9-7,1370.6108,2,2,1
111849,35/9-7,1370.7628,2,2,1
111850,35/9-7,1370.9148,2,2,1
111851,35/9-7,1371.0668,2,2,1
111852,35/9-7,1371.2188,2,2,1
111853,35/9-7,1371.3708,2,2,1
111854,35/9-7,1371.5228,2,2,1
111855,35/9-7,1371.6748,2,2,1
111856,35/9-7,1371.8268,2,2,1
111857,35/9-7,1371.9788,2,2,1
111858,35/9-7,1372.1308,2,2,1
111859,35/9-7,1372.2828,2,2,1
111860,35/9-7,1372.4348,2,2,1
111861,35/9-7,1372.5868,2,2,1
111862,35/9-7,1372.7388,2,2,1
111863,35/9-7,1372.8908,2,2,1
111864,35/9-7,1373.0428,2,2,1
111865,35/9-7,1373.1948,2,2,1
111866,35/9-7,1373.3468,2,2,1
111867,35/9-7,1373.4988,2,2,1
111868,35/9-7,1373.6508,2,2,1
