,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
22746,16/7-6,1110.9343999000002,2,2,1
22747,16/7-6,1111.0863999,2,2,1
22748,16/7-6,1111.2383999,2,2,1
22749,16/7-6,1111.3903999000001,2,2,1
22750,16/7-6,1111.5423999000002,2,2,1
22751,16/7-6,1111.6943999000002,2,2,1
22752,16/7-6,1111.8463999000003,2,2,1
22753,16/7-6,1111.9983999,2,2,1
22754,16/7-6,1112.1503999000001,2,2,1
22755,16/7-6,1112.3023999000002,2,2,1
22756,16/7-6,1112.4543999000002,2,2,1
22757,16/7-6,1112.6063999000003,2,2,1
22758,16/7-6,1112.7583999,2,2,1
22759,16/7-6,1112.9103999000001,2,2,1
22760,16/7-6,1113.0623999000002,2,2,1
22761,16/7-6,1113.2143999000002,2,2,1
22762,16/7-6,1113.3663999000003,2,2,1
22763,16/7-6,1113.5183999,2,2,1
22764,16/7-6,1113.6703999000001,2,2,1
22765,16/7-6,1113.8223999000002,2,2,1
22766,16/7-6,1113.9743999000002,2,2,1
22767,16/7-6,1114.1263999000003,2,2,1
22768,16/7-6,1114.2783999,2,2,1
22769,16/7-6,1114.4303999,2,2,1
22770,16/7-6,1114.5823999000002,2,2,1
22771,16/7-6,1114.7343999000002,2,2,1
22772,16/7-6,1114.8863999000002,2,2,1
22773,16/7-6,1115.0383999,2,2,1
22774,16/7-6,1115.1903999,2,2,1
22775,16/7-6,1115.3423999000001,2,2,1
22776,16/7-6,1115.4943999000002,2,2,1
22777,16/7-6,1115.6463999000002,2,2,1
22778,16/7-6,1115.7983999000003,2,2,1
22779,16/7-6,1115.9503999,2,2,1
22780,16/7-6,1116.1023999000001,2,2,1
22781,16/7-6,1116.2543999000002,2,2,1
22782,16/7-6,1116.4063999000002,2,2,1
22783,16/7-6,1116.5583999000003,2,2,1
22784,16/7-6,1116.7103999,2,2,1
22785,16/7-6,1116.8623999000001,2,2,1
22786,16/7-6,1117.0143999000002,2,2,1
22787,16/7-6,1117.1663999000002,2,2,1
22788,16/7-6,1117.3183999000003,2,2,1
22789,16/7-6,1117.4703999,2,2,1
22790,16/7-6,1117.6223999000001,2,2,1
22791,16/7-6,1117.7743999000002,2,2,1
