,WELL,DEPTH_MD,FORCE_2020_LITHOFACIES_LITHOLOGY,prediction,correct
61027,31/2-10,456.224,0,0,1
61028,31/2-10,456.376,0,0,1
61029,31/2-10,456.528,0,0,1
61030,31/2-10,456.68,0,0,1
61031,31/2-10,456.832,0,0,1
61032,31/2-10,456.98400000000004,0,0,1
61033,31/2-10,457.13599999999997,0,0,1
61034,31/2-10,457.288,0,0,1
61035,31/2-10,457.44,0,0,1
61036,31/2-10,457.592,0,0,1
61037,31/2-10,457.744,0,0,1
61038,31/2-10,457.89599999999996,0,0,1
61039,31/2-10,458.048,0,0,1
61040,31/2-10,458.2,0,0,1
61041,31/2-10,458.352,0,0,1
61042,31/2-10,458.504,0,0,1
61043,31/2-10,458.656,0,0,1
61044,31/2-10,458.80800000000005,0,0,1
61045,31/2-10,458.96,0,0,1
61046,31/2-10,459.11199999999997,0,0,1
61047,31/2-10,459.264,0,0,1
61048,31/2-10,459.416,0,0,1
61049,31/2-10,459.56800000000004,0,0,1
61050,31/2-10,459.72,0,0,1
61051,31/2-10,459.87199999999996,0,0,1
61052,31/2-10,460.024,0,0,1
61053,31/2-10,460.176,0,0,1
61054,31/2-10,460.32800000000003,0,0,1
61055,31/2-10,460.48,0,0,1
61056,31/2-10,460.63199999999995,0,0,1
61057,31/2-10,460.784,0,0,1
61058,31/2-10,460.936,0,0,1
61059,31/2-10,461.088,0,0,1
61060,31/2-10,461.24,0,0,1
61061,31/2-10,461.392,0,0,1
61062,31/2-10,461.54400000000004,0,0,1
61063,31/2-10,461.69599999999997,0,0,1
61064,31/2-10,461.848,0,0,1
61065,31/2-10,462.0,0,0,1
61066,31/2-10,462.152,0,0,1
61067,31/2-10,462.30400000000003,0,0,1
61068,31/2-10,462.45599999999996,0,0,1
61069,31/2-10,462.608,0,0,1
61070,31/2-10,462.76,0,0,1
61071,31/2-10,462.912,0,0,1
61072,31/2-10,463.064,0,0,1
61073,31/2-10,463.216,0,0,1
61074,31/2-10,463.36800000000005,0,0,1
61075,31/2-10,463.52,0,0,1
61076,31/2-10,463.67199999999997,0,0,1
61077,31/2-10,463.824,0,0,1
61078,31/2-10,463.976,0,0,1
61079,31/2-10,464.12800000000004,0,0,1
61080,31/2-10,464.28,0,0,1
61081,31/2-10,464.43199999999996,0,0,1
61082,31/2-10,464.584,0,0,1
61083,31/2-10,464.736,0,0,1
61084,31/2-10,464.88800000000003,0,0,1
61085,31/2-10,465.04,0,0,1
61086,31/2-10,465.19199999999995,0,0,1
61087,31/2-10,465.344,0,0,1
61088,31/2-10,465.496,0,0,1
61089,31/2-10,465.648,0,0,1
61090,31/2-10,465.8,0,0,1
61091,31/2-10,465.952,0,0,1
61092,31/2-10,466.10400000000004,0,0,1
61093,31/2-10,466.256,0,0,1
61094,31/2-10,466.408,0,0,1
61095,31/2-10,466.56,0,0,1
61096,31/2-10,466.712,0,0,1
61097,31/2-10,466.86400000000003,0,0,1
61098,31/2-10,467.01599999999996,0,0,1
61099,31/2-10,467.168,0,0,1
61100,31/2-10,467.32,0,0,1
61101,31/2-10,467.472,0,0,1
61102,31/2-10,467.624,0,0,1
61103,31/2-10,467.776,0,0,1
61104,31/2-10,467.92800000000005,0,0,1
61105,31/2-10,468.08,0,0,1
61106,31/2-10,468.23199999999997,0,0,1
61107,31/2-10,468.384,0,0,1
61108,31/2-10,468.536,0,0,1
61109,31/2-10,468.68800000000005,0,0,1
61110,31/2-10,468.84,0,0,1
61111,31/2-10,468.99199999999996,0,0,1
61112,31/2-10,469.144,0,0,1
61113,31/2-10,469.296,0,0,1
61114,31/2-10,469.44800000000004,0,0,1
61115,31/2-10,469.6,0,0,1
61116,31/2-10,469.75199999999995,0,0,1
61117,31/2-10,469.904,0,0,1
61118,31/2-10,470.056,0,0,1
61119,31/2-10,470.208,0,0,1
61120,31/2-10,470.36,0,0,1
61121,31/2-10,470.51199999999994,0,0,1
61122,31/2-10,470.664,0,0,1
61123,31/2-10,470.816,0,0,1
61124,31/2-10,470.968,0,0,1
61125,31/2-10,471.12,0,0,1
61126,31/2-10,471.272,0,0,1
61127,31/2-10,471.42400000000004,0,0,1
61128,31/2-10,471.57599999999996,0,0,1
61129,31/2-10,471.728,0,0,1
61130,31/2-10,471.88,0,0,1
61131,31/2-10,472.032,0,0,1
61132,31/2-10,472.184,0,0,1
61133,31/2-10,472.336,0,0,1
61134,31/2-10,472.48800000000006,0,0,1
61135,31/2-10,472.64,0,0,1
61136,31/2-10,472.792,1,0,0
61137,31/2-10,472.944,1,0,0
61138,31/2-10,473.096,1,0,0
61139,31/2-10,473.24800000000005,1,0,0
61140,31/2-10,473.4,1,0,0
61141,31/2-10,473.55199999999996,1,2,0
61142,31/2-10,473.704,1,2,0
61143,31/2-10,473.856,1,2,0
61144,31/2-10,474.00800000000004,1,2,0
61145,31/2-10,474.16,1,2,0
61146,31/2-10,474.31199999999995,1,2,0
61147,31/2-10,474.464,1,2,0
61148,31/2-10,474.616,1,2,0
61149,31/2-10,474.76800000000003,1,2,0
61150,31/2-10,474.92,2,2,1
61151,31/2-10,475.07199999999995,2,2,1
61152,31/2-10,475.224,2,2,1
61153,31/2-10,475.376,2,2,1
61154,31/2-10,475.528,2,2,1
61155,31/2-10,475.68,2,2,1
61156,31/2-10,475.832,2,2,1
61157,31/2-10,475.98400000000004,2,2,1
61158,31/2-10,476.13599999999997,2,2,1
61159,31/2-10,476.288,2,2,1
61160,31/2-10,476.44,2,2,1
61161,31/2-10,476.592,2,2,1
61162,31/2-10,476.744,2,2,1
61163,31/2-10,476.89599999999996,2,2,1
61164,31/2-10,477.048,2,2,1
61165,31/2-10,477.2,2,2,1
61166,31/2-10,477.352,2,2,1
61167,31/2-10,477.504,2,2,1
61168,31/2-10,477.656,2,2,1
61169,31/2-10,477.80800000000005,2,2,1
61170,31/2-10,477.96,2,2,1
61171,31/2-10,478.11199999999997,2,2,1
61172,31/2-10,478.264,2,2,1
61173,31/2-10,478.416,2,2,1
61174,31/2-10,478.56800000000004,2,2,1
61175,31/2-10,478.72,2,2,1
61176,31/2-10,478.87199999999996,2,2,1
61177,31/2-10,479.024,2,2,1
61178,31/2-10,479.176,2,2,1
61179,31/2-10,479.32800000000003,2,2,1
61180,31/2-10,479.48,2,2,1
61181,31/2-10,479.63199999999995,2,2,1
61182,31/2-10,479.784,2,2,1
61183,31/2-10,479.936,2,2,1
61184,31/2-10,480.088,2,2,1
61185,31/2-10,480.24,2,2,1
61186,31/2-10,480.392,2,2,1
61187,31/2-10,480.54400000000004,2,2,1
61188,31/2-10,480.69599999999997,2,2,1
61189,31/2-10,480.848,2,2,1
61190,31/2-10,481.0,2,2,1
61191,31/2-10,481.152,2,2,1
61192,31/2-10,481.30400000000003,2,2,1
61193,31/2-10,481.45599999999996,2,2,1
61194,31/2-10,481.608,2,2,1
61195,31/2-10,481.76,2,2,1
61196,31/2-10,481.912,2,2,1
61197,31/2-10,482.064,2,2,1
61198,31/2-10,482.216,2,2,1
61199,31/2-10,482.36800000000005,2,2,1
61200,31/2-10,482.52,2,2,1
61201,31/2-10,482.67199999999997,2,2,1
61202,31/2-10,482.824,2,2,1
61203,31/2-10,482.976,2,2,1
61204,31/2-10,483.12800000000004,2,2,1
61205,31/2-10,483.28,2,2,1
61206,31/2-10,483.43199999999996,2,2,1
61207,31/2-10,483.584,2,2,1
